"Cultivar","GCM","SSP","Time","earliest_bloom","median_bloom","latest_bloom","mean_frost0","mean_frost2.2","mean_Tmean","mean_Tmin","mean_Tmax","frost0_5plus","frost0_1plus","frost2.2_5plus","frost2.2_1plus"
"Schneiders","none","none","1960",110,128,143,1.04040404040404,0.282828282828283,13.0405230333639,2.15222222222222,23.3841414141414,8,3,19,6
"Schneiders","none","none","1970",114,130,144,1.35353535353535,0.393939393939394,13.1607767064585,1.8959595959596,23.8340404040404,8,5,25,7
"Schneiders","none","none","1980",113,131,146,1.6969696969697,0.494949494949495,12.7641689623508,1.61868686868687,23.1712121212121,12,6,27,9
"Schneiders","none","none","1990",106,126,142,1.26262626262626,0.292929292929293,12.774777701255,1.62252525252525,23.3551515151515,11,2,28,9
"Schneiders","none","none","2000",93,117,134,3.24242424242424,1,12.6475623660851,0.281717171717172,24.9914141414141,23,7,48,19
"Schneiders","none","none","2010",95,118,134,3.92929292929293,1.17171717171717,12.6888835322926,-0.198888888888889,25.4658585858586,28,7,54,24
"Schneiders","none","none","2020",88,117,134,6.15151515151515,2.37373737373737,11.9640557086012,-0.846363636363636,24.82,37,14,53,29
"Schneiders","ACCESS-CM2","SSP1","2050",74,104,124,2.8989898989899,0.808080808080808,12.2338900367309,0.418080808080808,24.4724242424242,22,7,46,17
"Schneiders","AWI-CM-1-1-MR","SSP1","2050",81,108,126,2.28282828282828,0.787878787878788,12.6417894857668,1.14909090909091,24.8330303030303,13,5,32,10
"Schneiders","CIESM","SSP1","2050",91,111,128,4.74747474747475,1.92929292929293,13.1931274869911,-0.721717171717172,27.2729292929293,34,16,55,32
"Schneiders","CMCC-ESM2","SSP1","2050",77,106,126,3.29292929292929,1.06060606060606,12.1099885215794,0.262828282828283,24.3784848484848,23,7,45,17
"Schneiders","CNRM-CM6-1-HR","SSP1","2050",65,102,122,4.07070707070707,1.47474747474747,11.634093204775,0.109191919191919,23.6481818181818,23,10,48,19
"Schneiders","CNRM-ESM2-1","SSP1","2050",92,114,131,3.25252525252525,1.23232323232323,12.6797149525559,0.361010101010101,25.0793939393939,19,11,42,18
"Schneiders","EC-Earth3-Veg-LR","SSP1","2050",82,109,127,3.16161616161616,1.04040404040404,12.6216777624732,0.512727272727273,25.2918181818182,20,6,44,19
"Schneiders","FGOALS-g3","SSP1","2050",89,112,130,3.78787878787879,1.57575757575758,12.5645416284053,-0.00464646464646465,24.8861616161616,24,10,46,23
"Schneiders","FIO-ESM-2-0","SSP1","2050",75,102,125,3.38383838383838,1.21212121212121,12.1184014386287,0.199090909090909,24.4368686868687,20,8,44,16
"Schneiders","GFDL-ESM4","SSP1","2050",83,108,126,3.18181818181818,1.07070707070707,12.6961126415672,0.361818181818182,25.4089898989899,20,6,45,18
"Schneiders","HadGEM3-GC31-LL","SSP1","2050",83,109,129,3.05050505050505,1.11111111111111,12.5706768441996,0.595757575757576,24.870101010101,20,8,39,18
"Schneiders","HadGEM3-GC31-MM","SSP1","2050",82,107,126,2.33333333333333,0.777777777777778,12.7938238445057,1.03494949494949,25.2313131313131,14,4,35,9
"Schneiders","INM-CM4-8","SSP1","2050",86,111,127,2.56565656565657,0.919191919191919,12.9466613100704,0.80969696969697,25.3508080808081,15,7,34,11
"Schneiders","INM-CM5-0","SSP1","2050",79,106,127,3.97979797979798,1.18181818181818,11.9477938475666,-0.161515151515152,24.5693939393939,31,9,55,24
"Schneiders","IPSL-CM6A-LR","SSP1","2050",75,108,126,2.97979797979798,0.868686868686869,12.3538387664524,0.706363636363636,24.4735353535354,16,6,40,11
"Schneiders","MIROC6","SSP1","2050",76,104,124,3.4040404040404,1.14141414141414,12.332358815427,-0.0013131313131313,25.189696969697,22,7,50,20
"Schneiders","MPI-ESM1-2-LR","SSP1","2050",78,109,128,3.35353535353535,0.848484848484849,12.0468931741659,0.333535353535354,24.5010101010101,23,7,49,18
"Schneiders","MRI-ESM2-0","SSP1","2050",89,114,130,3.64646464646465,1.47474747474747,12.678930593817,0.0027272727272727,25.4015151515152,21,11,49,18
"Schneiders","NESM3","SSP1","2050",81,107,126,2.4040404040404,0.747474747474748,12.7399498775635,0.982525252525253,25.0234343434343,17,5,35,10
"Schneiders","ACCESS-CM2","SSP2","2050",71,99,121,3.57575757575758,1.4949494949495,12.0598871288644,0.396464646464646,24.0362626262626,19,9,38,18
"Schneiders","AWI-CM-1-1-MR","SSP2","2050",80,106,125,2.23232323232323,0.848484848484849,12.9686562595653,1.10787878787879,25.5009090909091,12,5,29,9
"Schneiders","CIESM","SSP2","2050",84,108,126,3.87878787878788,1.33333333333333,12.9874257728803,-0.0406060606060606,26.6209090909091,29,9,47,24
"Schneiders","CMCC-ESM2","SSP2","2050",76,105,126,3.49494949494949,0.97979797979798,12.14858815427,0.0812121212121212,24.6934343434343,24,7,49,17
"Schneiders","CNRM-CM6-1-HR","SSP2","2050",64,99,121,4.41414141414141,1.6969696969697,11.6112519130701,-0.0443434343434343,23.589696969697,27,10,43,22
"Schneiders","CNRM-ESM2-1","SSP2","2050",87,114,131,4.08080808080808,1.55555555555556,12.3064971686563,-0.203636363636364,24.8558585858586,25,12,46,21
"Schneiders","EC-Earth3-CC","SSP2","2050",88,114,131,2.66666666666667,0.919191919191919,12.5392592592593,0.471313131313131,24.6809090909091,18,9,41,15
"Schneiders","EC-Earth3-Veg-LR","SSP2","2050",81,108,127,2.76767676767677,0.808080808080808,12.3006519742883,0.448888888888889,24.740505050505,16,5,40,20
"Schneiders","FGOALS-g3","SSP2","2050",73,101,123,3.46464646464646,1.38383838383838,12.0353891184573,0.46959595959596,23.9779797979798,17,7,37,16
"Schneiders","FIO-ESM-2-0","SSP2","2050",77,103,124,2.27272727272727,0.696969696969697,12.599234006734,0.775757575757576,24.7956565656566,15,6,34,13
"Schneiders","GFDL-ESM4","SSP2","2050",75,101,122,2.65656565656566,1.03030303030303,12.8004051882461,0.697070707070707,25.2238383838384,20,6,35,16
"Schneiders","HadGEM3-GC31-LL","SSP2","2050",82,108,127,2.91919191919192,1.01010101010101,12.6167604071013,0.742121212121212,25.0322222222222,17,7,37,14
"Schneiders","INM-CM4-8","SSP2","2050",82,109,127,2.78787878787879,0.838383838383838,12.4269735231099,0.767676767676768,24.3953535353535,15,4,39,11
"Schneiders","INM-CM5-0","SSP2","2050",73,103,126,4.48484848484848,1.57575757575758,11.4589271502908,-0.644747474747475,23.6565656565657,34,13,56,29
"Schneiders","IPSL-CM6A-LR","SSP2","2050",72,105,125,3.03030303030303,0.838383838383838,11.8326040710132,0.408282828282828,23.5430303030303,21,6,44,15
"Schneiders","MIROC6","SSP2","2050",73,104,125,4.09090909090909,1.51515151515152,12.1135097183961,-0.12,24.7716161616162,27,11,47,22
"Schneiders","MPI-ESM1-2-LR","SSP2","2050",76,109,128,3.76767676767677,1,11.8416777624732,0.183131313131313,23.9475757575758,25,9,48,20
"Schneiders","MRI-ESM2-0","SSP2","2050",85,110,128,3.09090909090909,1.1010101010101,12.5913961585552,0.346868686868687,25.0766666666667,18,6,41,19
"Schneiders","NESM3","SSP2","2050",82,108,125,1.68686868686869,0.575757575757576,13.4480356596266,1.62292929292929,25.5456565656566,11,3,28,7
"Schneiders","ACCESS-CM2","SSP3","2050",73,104,124,2.84848484848485,1.01010101010101,12.1813816192225,0.572727272727273,24.4216161616162,17,7,42,16
"Schneiders","AWI-CM-1-1-MR","SSP3","2050",77,102,123,1.38383838383838,0.474747474747475,13.6033539944904,2.00818181818182,25.7514141414141,10,5,22,9
"Schneiders","CNRM-CM6-1-HR","SSP3","2050",67,102,123,4.3030303030303,1.48484848484848,11.5842382154882,0.0405050505050505,23.7820202020202,23,10,48,21
"Schneiders","CNRM-ESM2-1","SSP3","2050",85,112,129,3.14141414141414,1.13131313131313,12.5791678145087,0.348181818181818,24.7607070707071,18,8,40,17
"Schneiders","EC-Earth3-AerChem","SSP3","2050",73,106,126,3.85858585858586,1.03030303030303,11.8121150902969,-0.122727272727273,24.2735353535354,32,11,52,23
"Schneiders","EC-Earth3-Veg-LR","SSP3","2050",72,101,123,3.07070707070707,1.27272727272727,12.0751668197123,0.721616161616162,23.8986868686869,17,7,35,16
"Schneiders","FGOALS-g3","SSP3","2050",75,102,123,2.36363636363636,0.828282828282828,12.596976201408,0.937979797979798,24.7229292929293,17,6,35,14
"Schneiders","GFDL-ESM4","SSP3","2050",71,103,122,2.43434343434343,0.858585858585859,12.5931730180594,0.743838383838384,24.9546464646465,20,7,37,14
"Schneiders","INM-CM4-8","SSP3","2050",83,111,128,2.90909090909091,0.878787878787879,12.5594314355678,0.454747474747475,24.8830303030303,18,4,41,15
"Schneiders","INM-CM5-0","SSP3","2050",61,95,121,5.12121212121212,1.66666666666667,11.0046874043465,-0.255656565656566,22.6645454545455,34,13,49,23
"Schneiders","IPSL-CM6A-LR","SSP3","2050",71,104,125,3.36363636363636,1.01010101010101,12.0123255280073,0.412525252525253,24.0938383838384,23,8,45,15
"Schneiders","MIROC6","SSP3","2050",72,103,123,3.22222222222222,1.2020202020202,12.1720722375268,0.368181818181818,24.5284848484848,21,8,44,19
"Schneiders","MPI-ESM1-2-LR","SSP3","2050",75,106,126,2.46464646464646,0.515151515151515,12.0858635598408,0.835656565656566,23.7148484848485,14,3,39,9
"Schneiders","MRI-ESM2-0","SSP3","2050",80,106,127,3.1010101010101,0.909090909090909,12.3216460055096,0.366565656565657,24.7624242424242,17,6,44,18
"Schneiders","ACCESS-CM2","SSP5","2050",71,99,122,3.51515151515152,1.39393939393939,12.0501978114478,0.444646464646465,23.9515151515152,18,9,36,19
"Schneiders","AWI-CM-1-1-MR","SSP5","2050",69,102,122,1.64646464646465,0.626262626262626,12.6377276553413,1.97565656565657,23.7184848484848,9,6,22,10
"Schneiders","CIESM","SSP5","2050",78,105,125,4.78787878787879,1.52525252525253,12.4559947964493,-0.604343434343434,26.2442424242424,32,9,60,27
"Schneiders","CMCC-ESM2","SSP5","2050",73,103,124,3.55555555555556,1.29292929292929,12.1051339149066,0.273232323232323,24.4433333333333,20,9,45,19
"Schneiders","CNRM-CM6-1-HR","SSP5","2050",62,96,120,4.13131313131313,1.29292929292929,11.5041639883685,0.378787878787879,23.0947474747475,25,8,41,20
"Schneiders","CNRM-ESM2-1","SSP5","2050",82,112,129,3.55555555555556,1.29292929292929,12.3947294918886,0.222222222222222,24.3876767676768,21,7,43,18
"Schneiders","EC-Earth3-CC","SSP5","2050",86,113,129,2.3030303030303,0.797979797979798,12.8204514845424,0.828181818181818,24.6153535353535,18,9,33,12
"Schneiders","EC-Earth3-Veg-LR","SSP5","2050",79,108,127,3.32323232323232,1.13131313131313,12.2888181052954,0.418383838383838,24.6148484848485,20,9,41,18
"Schneiders","FGOALS-g3","SSP5","2050",71,100,123,3.19191919191919,1.25252525252525,12.0331791398837,0.679393939393939,23.8862626262626,17,7,32,16
"Schneiders","FIO-ESM-2-0","SSP5","2050",73,100,120,2.87878787878788,1.25252525252525,12.7274582950719,0.756565656565657,25.1268686868687,17,9,33,16
"Schneiders","GFDL-ESM4","SSP5","2050",67,98,120,3.2020202020202,1.28282828282828,12.2623236149373,0.844343434343434,24.1481818181818,19,10,33,19
"Schneiders","HadGEM3-GC31-LL","SSP5","2050",74,102,123,2.04040404040404,0.646464646464647,12.6883888123661,1.11808080808081,24.8211111111111,15,5,31,12
"Schneiders","HadGEM3-GC31-MM","SSP5","2050",77,104,123,1.72727272727273,0.555555555555556,13.4153891184573,1.36282828282828,26.0440404040404,9,4,26,8
"Schneiders","INM-CM4-8","SSP5","2050",82,108,127,2.42424242424242,0.727272727272727,12.6297329354147,1.09969696969697,24.7553535353535,16,4,31,10
"Schneiders","INM-CM5-0","SSP5","2050",66,101,122,3.94949494949495,1.47474747474747,11.7671893174166,0.350606060606061,23.6751515151515,21,9,40,18
"Schneiders","IPSL-CM6A-LR","SSP5","2050",68,101,122,3.01010101010101,1.17171717171717,11.9413402969085,0.876969696969697,23.7120202020202,17,9,32,14
"Schneiders","MIROC6","SSP5","2050",72,102,122,2.87878787878788,1.03030303030303,12.2991693449648,0.507171717171717,24.5773737373737,17,7,39,15
"Schneiders","MPI-ESM1-2-LR","SSP5","2050",79,109,128,2.85858585858586,0.828282828282828,11.9718977655341,0.495858585858586,23.8747474747475,21,7,38,19
"Schneiders","MRI-ESM2-0","SSP5","2050",79,105,125,2.66666666666667,0.646464646464647,12.6748530762167,0.584747474747475,25.4367676767677,16,5,41,10
"Schneiders","NESM3","SSP5","2050",74,104,122,1.35353535353535,0.404040404040404,13.509879476584,1.89313131313131,25.5809090909091,10,4,23,9
