"species","repetition","cultivar","yc","zc","s1","Tu","theta_c","tau","pie_c","Tf","Tb","slope"
"Apricot","3","Harcot",45.4963365,184.0859805,0.2280883,19.4245235,284.119782,33.4079288,31.9399484,2.0070774,6.4917415,2.5824244
"Apricot","4","Búlida",20.4721567,345.3228584,0.1000278,25.6974134,284.033925,39.3560134,32.2262093,3.2159166,2.0639452,4.878858
"Apricot","4","Canino",31.2321047,143.9195783,0.2173875,18.387118,284.2455124,42.7965212,33.7391864,2.997935,8.0959705,3.6520762
"Apricot","4","Dorada",33.8775705,420.7217944,0.1929914,16.4327797,285.0371594,39.95966,26.0847186,5.2490209,4.6460731,2.0502645
"Apricot","4","Goldrich",41.2921607,207.892215,0.3439968,19.2238813,286.7615189,46.5389079,25.8079421,2.1652996,4.5008304,1.7318322
"Apricot","4","Pepito del Rubio",26.2749003,290.1676536,0.4704772,17.4508538,284.2994325,45.6554019,31.7857308,3.9923693,6.0169009,2.8331083
"Apricot","4","Stark E. Orange",35.0518986,198.1849431,0.9272606,23.5400614,284.7327842,43.5918891,37.4752717,6.0682789,4.0896187,2.9952794
"Apricot","4","Sunglo",41.0551161,229.9188527,0.2021802,19.6629571,285.5516635,37.0185049,26.7740046,4.1884693,5.7903014,2.2852014
"Apricot","4","Mitger",38.9660425,258.5069105,0.3958229,21.2013545,285.8434198,39.1467529,31.1703845,3.8693262,3.6086356,2.0908051
"Apricot","4","Henderson",47.793505,231.0175552,0.7637186,19.8252286,284.4691935,38.6712962,39.0237229,2.3354993,4.6049564,4.7400313
"Apricot","4","Pandora",37.2385307,220.8305167,0.1632968,16.3169809,286.1045603,42.9171065,34.6764174,3.6323316,6.5440025,4.117594
"Apricot","4","Veecot",38.0923751,207.7719195,0.2592535,23.6117031,286.4357767,42.8203416,29.9228505,2.3409147,3.0699169,2.1580104
"Apricot","4","Tadeo",32.9070069,299.156062,0.3151017,18.8337751,285.9465176,46.0048434,32.4870231,3.7502158,4.1216367,2.9526065
"Apricot","4","Harcot",34.992361,162.5600754,0.2060572,17.6978487,284.9416251,48,37.086313,2.8603943,7.6103604,4.4800641
"Apricot","5","Búlida",36.634661,227.079716,0.235826,20.815071,286.022225,43.645552,30.840428,2.715313,6.206224,4.1373
"Apricot","5","Canino",26.7945607,264.0405476,0.2195075,22.0920069,284.4539663,41.7253128,34.3614677,3.3612444,3.2456556,3.6707168
"Apricot","5","Dorada",47.743106,206.905329,0.9325,15.473645,286.306362,42.945851,26.858464,4.840224,7.319287,3.084533
"Apricot","5","Goldrich",35.3745987,183.510107,0.1094028,15.5127302,284.2298874,40.0150375,33.3306705,2.4152108,7.6787376,1.2101717
"Apricot","5","Pepito del Rubio",62.1276769,123.7658854,0.4118826,26.6211915,286.2791503,29.3895306,24.5917385,4.4240291,4.1232863,2.928117
"Apricot","5","Stark E. Orange",50.2501371,163.3553602,0.6642764,25.7632928,286.3911915,42.3330716,30.9765145,2.0280859,3.774888,3.1883259
"Apricot","5","Sunglo",34.4178663,239.4744331,0.3487956,20.9492218,285.8310182,41.9297272,28.855783,5.1750719,5.3609971,2.1382609
"Apricot","5","Mitger",35.3775681,193.1879159,0.9080243,29.1026097,284.1881,40.208199,28.920295,2.0886045,2.0139599,1.4147123
"Apricot","5","Henderson",23.3407042,322.7991865,0.6943447,24.9658614,284.15,46.8484849,35.9286256,4.7403493,2,2.2442899
"Apricot","5","Pandora",37.0835891,289.795185,0.2141222,17.0297044,284.1996371,36.7589159,26.0801592,2.297148,4.687142,3.2947428
"Apricot","5","Veecot",38.5241117,140.7288884,0.4734208,19.7801478,284.2973,41.6615276,33.0186245,2.7256221,6.875218,2.3167094
"Apricot","5","Tadeo",41.7970792,152.1137828,0.2113991,25.1500729,285.3395802,42.7670291,32.9147895,2.7337222,3.4660258,2.3753187
"Apricot","5","Harcot",35.2578769,187.9376371,0.3541461,17.4581855,284.6121786,41.7792173,35.9797594,3.5074192,7.993283,3.6723444
"Apricot","6","Búlida",31.611564,194.369166,0.332104,22.433003,285.568929,46.058168,26.722125,6.855374,5.954161,3.954213
"Apricot","6","Canino",32.8120416,349.8237653,0.1928496,17.9322781,286.7870096,44.5444886,25.8310698,2.6410045,3.1713251,2.8021416
"Apricot","6","Dorada",36.1032157,319.4748348,0.2948867,19.8879715,286.2119605,43.8087693,24.586031,6.0917644,5.0462444,2.303837
"Apricot","6","Goldrich",25.7957166,179.2217033,0.3156445,16.4379302,284.0053913,47.9479024,36.6215333,3.5685166,8.4420454,2.009505
"Apricot","6","Pepito del Rubio",53.8453769,105.9182321,0.7144615,20.0496945,285.8583699,34.5505928,24.0225977,4.7183823,8.6046167,2.7087828
"Apricot","6","Stark E. Orange",35.0463758,332.6393334,0.2406506,17.580059,285.7907542,42.7517832,26.8488266,5.1394835,4.762385,2.3511198
"Apricot","6","Sunglo",48.2557975,260.5954188,0.8008685,17.018661,285.4700896,36.8302819,27.56222,3.7688547,6.1586901,2.739341
"Apricot","6","Mitger",39.153474,259.111623,1,22.671251,285.840764,42.389772,27.897213,2.354481,2.660479,2.438192
"Apricot","6","Henderson",43.3700884,300.3102193,0.9011146,17.1130194,285.8591937,42.7377391,27.7332316,4.7739487,4.2069443,1.9862793
"Apricot","6","Pandora",41.640379,189.08152,0.143562,21.613085,285.975748,39.499714,32.030143,2.007387,3.942727,4.789219
"Apricot","6","Veecot",34.8050692,138.3793806,0.6228396,20.7762181,284.6308731,45.6140205,38.9728813,5.0591525,6.1514167,3.8544847
"Apricot","6","Tadeo",35.4396277,268.3325761,0.5641392,20.1220035,285.5330956,44.7344531,34.4805478,3.5999689,4.2541055,2.1190428
"Apricot","6","Harcot",20.1875,100.078125,0.4293156,29.9648438,284,47.8758299,47.1729007,4.5213945,6.4762417,3.8143642
"Apricot","7","Búlida",40.8271147,183.9714648,0.1666632,26.3653424,285.944582,42.4073226,24.9338265,3.0185679,2.945928,4.203987
"Apricot","7","Canino",36.1820707,117.6462297,0.1672264,29.9404486,286.008086,41.4545956,25.4257413,5.5732341,2.5398929,3.0056887
"Apricot","7","Dorada",34.4565182,339.8821743,0.9831339,18.0438793,284.6766688,32.6712337,24.0683368,6.0178796,9.416648,4.2997776
"Apricot","7","Goldrich",34.9878726,466.4975385,0.8661907,15.2818134,286.625302,48,27.7811656,2.0052564,2.1069082,1.5959605
"Apricot","7","Pepito del Rubio",36.118462,127.9202631,0.1278147,28.2916104,285.5237514,45.1346824,25.4913083,5.3286964,2.6624601,1.4009398
"Apricot","7","Stark E. Orange",45.557999,135.666647,1,29.629659,286.498427,47.669085,26.56378,3.806657,2.697449,3.526831
"Apricot","7","Sunglo",27.8433727,252.9664039,0.4003162,18.6765373,284.4113404,44.6790553,38.5201267,4.8666196,6.6152139,3.4313335
"Apricot","7","Mitger",33.8254428,264.8007452,0.5508178,18.8668169,286.1049144,43.1541652,26.6569559,4.9302824,5.6760864,3.0180785
"Apricot","7","Henderson",29.0411334,197.3756523,0.9545463,21.7902538,284.2822106,40.1479568,32.2915661,7.0693727,5.4382884,2.6113745
"Apricot","7","Pandora",35.2085901,264.3278818,0.2037745,19.2090665,285.7792365,43.7518155,40.158907,3.5377269,3.0464888,2.2651255
"Apricot","7","Veecot",37.6157357,102.9629328,0.4559362,19.9520019,284.5403282,39.9563477,37.2606601,4.3955018,8.4285038,1.470668
"Apricot","7","Tadeo",39.0844334,277.7057595,0.4179016,18.5169503,285.5957219,44.0590021,35.5761281,2.6660875,4.3035863,3.0744606
"Apricot","7","Harcot",30.836343,238.3025713,0.4500222,23.6919626,285.8750078,46.7366731,32.8586346,3.6739398,3.149161,2.8831419
"Apricot","8","Búlida",34.7452843,143.93302,0.1641007,25.5224745,285.3625682,47.1819112,24.4917441,3.5552012,4.6478486,1.3532773
"Apricot","8","Canino",28.0753174,424.0055203,0.9535125,18.961747,286.7895619,47.6942275,28.3698876,2.2226521,2.021015,2.9917776
"Apricot","8","Dorada",39.6062745,406.6495618,0.8525725,23.307681,286.7257441,43.1055008,25.8855096,2.4563485,2.0039391,4.886245
"Apricot","8","Goldrich",38.7798816,317.8322535,0.5687688,17.3157687,286.5429267,41.0514979,27.20374,5.9762336,3.2122721,2.3625683
